l,power,log10_power
0,8.19843502994259179e+04,4.91373095936848703e+00
1,7.17813564956664329e+00,8.56011661200009488e-01
2,3.95896714349585395e+01,1.59758189744362733e+00
3,7.20116362855211189e-01,-1.42597320703887864e-01
4,7.38349603020462264e-01,-1.31737954285865377e-01
5,3.30309855669589425e-01,-4.81078467788873310e-01
6,1.92515396646318337e-01,-7.15534531552149411e-01
7,6.20688266438232869e-02,-1.20712646448941241e+00
8,5.65048999016753151e-02,-1.24791389009223352e+00
9,6.05288758622333084e-02,-1.21803739169726821e+00
10,5.13386461547337969e-02,-1.28955558824114358e+00
11,3.00085267843149678e-02,-1.52275532497326682e+00
12,2.34264013129179098e-02,-1.63029442117592316e+00
13,2.74332336590454896e-02,-1.56172299744439758e+00
14,9.25306206743589307e-03,-2.03371452467415459e+00
15,1.18120324770801255e-02,-1.92767536761643288e+00
16,1.25754709200956178e-02,-1.90047574271978448e+00
17,7.49050896119042228e-03,-2.12548867208333592e+00
18,8.89156573859102399e-03,-2.05102175626758854e+00
19,4.98420786531834827e-03,-2.30240385381311885e+00
20,6.74936325247538303e-03,-2.17073719738828697e+00
21,6.44544713325835746e-03,-2.19074694940894243e+00
22,3.83679595234886518e-03,-2.41603129674259831e+00
23,4.27710717952271054e-03,-2.36884986667279662e+00
24,3.86872963398210683e-03,-2.41243161987101695e+00
25,2.59092621390704173e-03,-2.58654495496064607e+00
26,2.90343187656982816e-03,-2.53708835939366528e+00
27,2.63751732346155033e-03,-2.57880467919792800e+00
28,2.42568298824277816e-03,-2.61516595757204895e+00
29,1.76274933284569402e-03,-2.75380944101993919e+00
30,1.92359533327132498e-03,-2.71588628521487152e+00
31,1.90960668118516394e-03,-2.71905607452247189e+00
